iso2	area_sqkm
AF	642181.6163942092
AL	28335.84516398934
DZ	2308857.817784158
AS	180.3056963678391
AS	180.3056963678391
AD	452.24793683157947
AO	1244654.313546171
AI	80.67384596823143
AI	80.67384596823143
AQ	12358174.388790991
AG	451.48018877323005
AG	451.48018877323005
AR	2784305.9189470923
AM	29588.31031852631
AW	169.76642238220072
AW	169.76642238220072
AU	7691175.090399871
AU	7691175.090399871
AT	83993.196879589
AT	83993.196879589
AZ	86249.80023303672
BS	12592.697860504082
BS	12592.697860504082
BH	584.9397795935516
BH	584.9397795935516
BD	136903.67805500666
BB	444.2213241323988
BB	444.2213241323988
BY	207499.13339444195
BE	30669.830511667642
BE	30669.830511667642
BZ	22299.42219573088
BJ	116113.30895446315
BM	62.302165719231844
BM	62.302165719231844
BT	40365.36421684413
BO	1086810.6457342159
BA	51826.537863392885
BA	51826.537863392885
BW	579029.2005460369
BR	8472669.678377096
MU	49.06066588711554
MU	49.06066588711554
VG	144.94117607257522
VG	144.94117607257522
BN	5716.69325911628
BN	5716.69325911628
BG	112760.6938197593
BG	112760.6938197593
BF	272769.396656721
BF	272769.396656721
BI	27041.26629610865
KH	181059.6108326335
KH	181059.6108326335
CM	464319.27834895253
CA	9945527.764985083
CA	9945527.764985083
CV	3883.1427075028528
CV	3883.1427075028528
KY	309.19646687841606
KY	309.19646687841606
CF	617984.2399580368
CF	617984.2399580368
TD	1266282.335587437
CL	736592.7499003441
CN	9374591.216965673
CO	1135117.8781117965
KM	1672.2269205270734
KM	1672.2269205270734
CG	344888.6767348834
CG	344888.6767348834
CD	2325240.4236477143
CD	2325240.4236477143
CK	191.1318923077924
CK	191.1318923077924
CR	51144.33533147565
CR	51144.33533147565
CI	320677.15691769694
CI	320677.15691769694
HR	55077.44290253139
HR	55077.44290253139
CU	109929.18207741623
CU	109929.18207741623
CW	463.2502195446062
CY	5395.020997606832
CZ	78758.85950496417
CZ	78758.85950496417
DK	42696.43397568578
DJ	21847.61409875067
DJ	21847.61409875067
DM	730.3125711240883
DM	730.3125711240883
DO	48439.790109810456
DO	48439.790109810456
EC	255014.21488574092
EG	1001078.5472864377
SV	20539.229033657255
SV	20539.229033657255
GQ	26671.690857533435
GQ	26671.690857533435
ER	122537.73880057433
EE	45819.03919607016
ET	1127375.979708977
ET	1127375.979708977
FK	11597.223908080165
FK	11597.223908080165
FO	1328.521588833648
FO	1328.521588833648
FJ	18930.08333615292
FJ	18930.08333615292
FI	333059.05525200185
FR	636758.5293095022
PF	3336.547746896668
PF	3336.547746896668
TF	7279.985796449041
TF	7279.985796449041
GA	259968.48468844334
GM	10500.897039039673
GM	10500.897039039673
GE	69570.72579287778
DE	357673.8176546789
DE	357673.8176546789
GH	238668.6769644392
GI	3.6923712199048997
GI	3.6923712199048997
GR	131353.43567330888
GL	2154380.7913027797
GD	347.26326182813665
GD	347.26326182813665
GU	564.2033872157984
GU	564.2033872157984
GT	108811.24580904085
GG	73.98167691376233
GG	73.98167691376233
GN	244301.98009354426
GW	32829.628073843596
GY	211213.69761780626
HT	26891.569007692582
HT	26891.569007692582
HM	394.8631323674507
HM	394.8631323674507
HN	112236.7314052547
HK	1036.2047445663206
HK	1036.2047445663206
HU	93200.95199920457
IS	102390.07076428035
IN	3151452.491961143
ID	1879827.3748788622
IR	1622510.1866869396
IQ	437366.9830915558
IE	69445.01466838783
IM	574.8173931731901
IM	574.8173931731901
IL	21900.93235056281
IT	301185.0685934983
IT	301185.0685934983
JM	11032.896473883871
JP	373508.03418055526
JE	119.05032234631538
JE	119.05032234631538
JO	88863.04758601561
KZ	2714263.3685441692
KE	585702.5843625352
KI	949.8634513214655
KI	949.8634513214655
KW	17474.020396605734
KW	17474.020396605734
KG	198990.45591103574
LA	228113.97485040524
LV	64576.403598551624
LB	10000.011414743245
LB	10000.011414743245
LS	30106.518072275434
LS	30106.518072275434
LR	95298.1539476318
LY	1623760.9003579712
LI	137.24980376003361
LI	137.24980376003361
LT	64939.29751757669
LU	2608.4689301204567
LU	2608.4689301204567
MO	30.076684162869036
MO	30.076684162869036
MK	25385.269367754358
MK	25385.269367754358
MG	592983.8842587469
MW	119397.76652705297
MY	327884.8886786309
MV	108.74231101540427
MV	108.74231101540427
ML	1252723.65729053
MT	325.6880511236057
MT	325.6880511236057
MH	164.8223820920804
MH	164.8223820920804
MR	1036391.8235232013
MU	2014.4396132592276
MU	2014.4396132592276
MX	1957847.0583796725
FM	633.8453645261274
FM	633.8453645261274
MD	33206.47762337327
MD	33206.47762337327
MC	18.83968030350399
MC	18.83968030350399
MN	1564648.9906362689
ME	13727.499653550689
ME	13727.499653550689
MS	99.5971440362947
MA	591745.2469115739
MZ	788448.5360396466
MM	663159.3007064887
MM	663159.3007064887
NA	822713.0501869222
NR	28.76692206009218
NR	28.76692206009218
NP	147105.48971549707
NL	37397.73062549219
NC	18841.034983433838
NC	18841.034983433838
NZ	268494.5791221025
NZ	268494.5791221025
NI	128691.43282995676
NE	1181300.8923377672
NG	907501.0844204949
NU	220.5712371115818
NU	220.5712371115818
NF	41.146497360852244
NF	41.146497360852244
KP	122379.4003676106
KP	122379.4003676106
MP	579.3044095829808
MP	579.3044095829808
NO	382066.5602031595
OM	311213.4541656622
PK	872939.2882954803
PW	491.9321840072223
PW	491.9321840072223
PA	74530.3083392666
PY	399901.05470343813
PE	1289866.4010943884
PH	293237.4880448443
PH	293237.4880448443
PN	42.569755890356156
PN	42.569755890356156
PL	313430.77287693263
PR	9005.976495638546
PR	9005.976495638546
QA	11150.106992136532
RO	236376.6560898297
RU	16980199.62053948
RW	25305.054919012287
SX	68.27952917497707
SX	68.27952917497707
WS	2780.412472401772
WS	2780.412472401772
SM	60.31713094507217
SM	60.31713094507217
ST	1037.1561366140731
ST	1037.1561366140731
SA	1921725.381316085
SA	1921725.381316085
SN	196224.29707317977
RS	77573.60378468432
RS	77573.60378468432
SC	435.6674565265611
SC	435.6674565265611
SL	71611.71499421634
SL	71611.71499421634
SG	510.5031737010714
SG	510.5031737010714
SX	23.358516925027608
SK	48457.788850943936
SK	48457.788850943936
SI	20327.278948233627
SI	20327.278948233627
SB	27198.794740282905
SB	27198.794740282905
SO	471815.00342042226
SO	471815.00342042226
ZA	1219826.7283745739
ZA	1219826.7283745739
GS	3921.4841282731895
GS	3921.4841282731895
KR	98544.42882167482
KR	98544.42882167482
ES	506884.11511566624
LK	66291.18329842921
LK	66291.18329842921
SX	24.423261174697878
BL	24.423261174697878
SH	366.6607260858252
SH	366.6607260858252
KN	264.1305694796238
KN	264.1305694796238
LC	605.1306728761933
LC	605.1306728761933
PM	242.74984975668715
PM	242.74984975668715
VC	367.72526305705827
VC	367.72526305705827
SD	1857637.0669359493
SD	1857637.0669359493
SR	145123.53017072426
SZ	17111.84503911677
SE	446178.44094333774
CH	41435.79877039148
SY	185939.04840221372
TW	36197.77371986479
TW	36197.77371986479
TJ	142238.25603156321
TZ	941505.9871227486
TH	514453.67794878985
TL	15082.235169431544
TL	15082.235169431544
TG	56863.47734125389
TG	56863.47734125389
TO	603.113108349627
TT	5122.926215130053
TT	5122.926215130053
TN	156611.6936003666
TR	780079.652511871
TM	470850.3991076106
TC	445.2174997052877
TC	445.2174997052877
TV	23.018500347682377
VI	354.748452079206
VI	354.748452079206
UG	241853.6301856624
UG	241853.6301856624
UA	571998.5759768161
AE	71084.63633494375
AE	71084.63633494375
GB	243783.211052871
GB	243783.211052871
US	9464330.067774186
US	9464330.067774186
UM	28.004552774807518
UM	28.004552774807518
UY	177345.12616579118
UZ	447830.15943964483
VU	12296.604102737805
VA	0.012203829894423484
VA	0.012203829894423484
VE	912684.3995537218
VN	328892.1170819263
VN	328892.1170819263
WF	139.32915982165002
WF	139.32915982165002
YE	453075.75716205843
YE	453075.75716205843
ZM	751914.9431398275
ZW	389337.4811096561
ZW	389337.4811096561
