iso3	iso2	gadm1	gbif_name	type	area_sqkm	decimal_longitude	decimal_latitude	source_locality_name	source_reference	source
				ADM1		-63.0468	18.22931	North Side	https://www.geonames.org/	GeoNames
				ADM1		-168.15	-14.54583	Rose Atoll	https://www.geonames.org/	GeoNames
				ADM1		180	-18.5	Eastern Division	https://www.geonames.org/	GeoNames
				ADM1		172.984	1.42	Gilbert Islands	https://www.geonames.org/	GeoNames
				ADM1		-157.475	1.942	Line Islands	https://www.geonames.org/	GeoNames
				ADM1		-171.678	-2.808	Phoenix Islands	https://www.geonames.org/	GeoNames
				ADM1		168.76667	7.38333	Ailinglaplap Atoll	https://www.geonames.org/	GeoNames
				ADM1		169.92176	10.28621	Ailuk Atoll	https://www.geonames.org/	GeoNames
				ADM1		165.37617	11.58363	Bikini Atoll	https://www.geonames.org/	GeoNames
				ADM1		162.25	11.5	Enewetak Atoll	https://www.geonames.org/	GeoNames
				ADM1		169.9918	9.12515	Erikub Atoll	https://www.geonames.org/	GeoNames
				ADM1		169.58333	6	Jaluit Atoll	https://www.geonames.org/	GeoNames
				ADM1		167.308	9.182	Kwajalein Atoll	https://www.geonames.org/	GeoNames
				ADM1		169.15	9.88333	Likiep Atoll	https://www.geonames.org/	GeoNames
				ADM1		171.05	8.75	Maloelap Atoll	https://www.geonames.org/	GeoNames
				ADM1		171.91667	6.13333	Mili Atoll	https://www.geonames.org/	GeoNames
				ADM1		166.83333	11.33333	Rongelap Atoll	https://www.geonames.org/	GeoNames
				ADM1		167.43333	11.35	Rongrik Atoll	https://www.geonames.org/	GeoNames
				ADM1		169.58633	11.17301	Taka Atoll	https://www.geonames.org/	GeoNames
				ADM1		169.12654	5.64605	Kili Island	https://www.geonames.org/	GeoNames
				ADM1		21.42889	42.005	Grad Skopje	https://www.geonames.org/	GeoNames
				ADM1		73.58535	3.37014	Vaavu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.11791	2.1943	Thaa Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.19763	6.32125	Shaviyani Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.16841	-0.68694	Addu Atoll	https://www.geonames.org/	GeoNames
				ADM1		72.98495	5.76347	Raa Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.38873	5.96486	Noonu Atoll	https://www.geonames.org/	GeoNames
				ADM1		73.42491	-0.29693	Gnaviyani Atoll	https://www.geonames.org/	GeoNames
				ADM1		73.35194	2.77528	Meemu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.58416	5.28055	Lhaviyani Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.57291	2.10347	Laamu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.49918	4.16958	Kaafu Atoll	https://www.geonames.org/	GeoNames
				ADM1		73.18859	6.82625	Haa Dhaalu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		72.97981	7.0218	Haa Alifu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.10162	0.22028	Gaafu Dhaalu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.50921	0.38569	Gaafu Alifu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		72.97933	3.10609	Faafu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.012	2.94875	Dhaalu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		72.97312	4.89104	Baa Atholhu	https://www.geonames.org/	GeoNames
				ADM1		72.96933	4.265	Alifu Atholhu	https://www.geonames.org/	GeoNames
				ADM1		73.50833	4.175	Maale	https://www.geonames.org/	GeoNames
				ADM1		72.83	3.65	Southern Ari Atoll	https://www.geonames.org/	GeoNames
				ADM1		-140.93333	-18.16667	ÃŽles Tuamotu-Gambier	https://www.geonames.org/	GeoNames
				ADM1		-150	-23	ÃŽles Australes	https://www.geonames.org/	GeoNames
				ADM1		51.03403	-9.97242	Outer Islands	https://www.geonames.org/	GeoNames
				ADM1		51	-46.41667	Archipel des Crozet	https://www.geonames.org/	GeoNames
				ADM1		138.9913	-59.99856	La Terre-AdÃ©lie	https://www.geonames.org/	GeoNames
		XKO.1_1	Đakovica	ADM1	594.7224435538063	20.4235	42.38775	Gjakova District	https://www.geonames.org/	GeoNames
		XKO.2_1	Gnjilane	ADM1	517.4256013544407	21.46716	42.46078	Gjilan District	https://www.geonames.org/	GeoNames
		XKO.3_1	Kosovska Mitrovica	ADM1	331.84218039269257	20.876	42.89574	Mitrovica District	https://www.geonames.org/	GeoNames
		XKO.4_1	Pećki	ADM1	474.4690478067684	20.30072	42.6632	Pec District	https://www.geonames.org/	GeoNames
		XKO.5_1	Pristina	ADM1	274.2807092691851	21.16486	42.66308	Pristina District	https://www.geonames.org/	GeoNames
		XKO.6_1	Prizren	ADM1	440.49475151135255	20.74232	42.21566	Prizren District	https://www.geonames.org/	GeoNames
		XKO.7_1	Uroševac	ADM1	66.2024916719017	21.41667	42.16667	OpÅ¡tina ÄŒuÄer-Sandevo	https://www.geonames.org/	GeoNames
		XKO.7_1	Uroševac	ADM1	66.2024916719017	21.14528	42.11306	Jegunovce	https://www.geonames.org/	GeoNames
		XKO.7_1	Uroševac	ADM1	66.2024916719017	21.14735	42.36931	Ferizaj District	https://www.geonames.org/	GeoNames
		Z01.14_1	Jammu and Kashmir	ADM1	106019.02862743764	75.40781	33.5329	State of Jammu and KashmÄ«r	https://www.geonames.org/	GeoNames
		Z01.14_1	Jammu and Kashmir	ADM1	106019.02862743764	77.34688	34.09712	Ladakh	https://www.geonames.org/	GeoNames
		Z06.1_1	Azad Kashmir	ADM1	11962.404599447977	73.9104	33.94718	Azad Jammu and Kashmir	https://www.geonames.org/	GeoNames
		Z06.6_1	Gilgit-Baltistan	ADM1	65244.47346419799	75	36	Gilgit-Baltistan	https://www.geonames.org/	GeoNames
		Z07.3_1	Arunachal Pradesh	ADM1	82202.90031189435	93.37	27.06	State of ArunÄchal Pradesh	https://www.geonames.org/	GeoNames
		ZNC.4_1	Iskele	ADM1		33.86667	35.33333	Famagusta District	https://www.geonames.org/	GeoNames
		ZNC.5_1	Nicosia	ADM1		33.25	35.28333	Kyrenia District	https://www.geonames.org/	GeoNames
