iso3	iso2	gadm1	gbif_name	type	area_sqkm	decimal_longitude	decimal_latitude	source_locality_name	source_reference	source
AND	AD	AND.3_1	Encamp	ADM1	14.496486010956763	1.65833	42.58333	Canillo	https://www.geonames.org/	GeoNames
AND	AD	AND.4_1	Escaldes-Engordany	ADM1		1.48247	42.46247	Sant JuliÃ  de LÃ²ria	https://www.geonames.org/	GeoNames
AND	AD	AND.4_1	Escaldes-Engordany	ADM1		1.49414	42.5045	Andorra la Vella	https://www.geonames.org/	GeoNames
AND	AD	AND.6_1	Ordino	ADM1		1.56667	42.5	Escaldes-Engordany	https://www.geonames.org/	GeoNames
AND	AD	AND.7_1	Sant Julià de Lòria	ADM1		1.48333	42.55417	La Massana	https://www.geonames.org/	GeoNames
ARE	AE	ARE.1_1	Abu Dhabi	ADM1	59354.34961169619	54	23.66667	Abu Dhabi	https://www.geonames.org/	GeoNames
ARE	AE	ARE.3_1	Dubai	ADM1	3870.057373996941	55.33333	25	Dubai	https://www.geonames.org/	GeoNames
ARE	AE	ARE.3_1	Dubai	ADM1	3870.057373996941	55.44057	25.31763	Ash ShÄriqah	https://www.geonames.org/	GeoNames
ARE	AE	ARE.4_1	Fujairah	ADM1	1705.3649519400874	56	25.66667	ImÄrat Raâ€™s al Khaymah	https://www.geonames.org/	GeoNames
ARE	AE	ARE.4_1	Fujairah	ADM1	1705.3649519400874	56.25	25.13333	ImÄrat al Fujayrah	https://www.geonames.org/	GeoNames
ARE	AE	ARE.6_1	Sharjah	ADM1	150.26057114009345	55.51667	25.38333	ImÄrat â€˜AjmÄn	https://www.geonames.org/	GeoNames
ARE	AE	ARE.7_1	Umm al-Qaywayn	ADM1	750.557605626196	55.75	25.5	ImÄrat Umm al Qaywayn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.10_1	Ghor	ADM1	36118.85761654701	65	34	WilÄyat-e GhÅr	https://www.geonames.org/	GeoNames
AFG	AF	AFG.11_1	Hilmand	ADM1	57299.60944580856	64	31	Helmand	https://www.geonames.org/	GeoNames
AFG	AF	AFG.12_1	Hirat	ADM1	55431.241659685904	62	34.5	HerÄt	https://www.geonames.org/	GeoNames
AFG	AF	AFG.13_1	Jawzjan	ADM1	11268.349312059823	65.83333	36.83333	WilÄyat-e JowzjÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.14_1	Kabul	ADM1	4419.550537543408	69.41667	34.5	WilÄyat-e KÄbul	https://www.geonames.org/	GeoNames
AFG	AF	AFG.15_1	Kandahar	ADM1	53484.3047387165	65.75	31	KandahÄr	https://www.geonames.org/	GeoNames
AFG	AF	AFG.16_1	Kapisa	ADM1	1860.3009411873616	69.58333	35	WilÄyat-e KÄpÄ«sÄ	https://www.geonames.org/	GeoNames
AFG	AF	AFG.17_1	Khost	ADM1	4033.5659567869216	69.88333	33.38333	VelÄyat-e Khowst	https://www.geonames.org/	GeoNames
AFG	AF	AFG.18_1	Kunar	ADM1	4657.253194693887	71.13333	34.95	WilÄyat-e Kunaá¹Ÿ	https://www.geonames.org/	GeoNames
AFG	AF	AFG.19_1	Kunduz	ADM1	8004.85062116964	68.75	36.75	Kunduz	https://www.geonames.org/	GeoNames
AFG	AF	AFG.20_1	Laghman	ADM1	3894.135125795787	70.18333	34.78333	WilÄyat-e LaghmÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.21_1	Logar	ADM1	4458.027175118271	69.25	34	WilÄyat-e LÅgar	https://www.geonames.org/	GeoNames
AFG	AF	AFG.22_1	Nangarhar	ADM1	7338.301521800378	70.41667	34.33333	NangarhÄr	https://www.geonames.org/	GeoNames
AFG	AF	AFG.23_1	Nimroz	ADM1	42089.75144624838	62.5	31	WilÄyat-e NÄ«mrÅz	https://www.geonames.org/	GeoNames
AFG	AF	AFG.24_1	Nuristan	ADM1	8879.91484770489	70.83333	35.3	VelÄyat-e NÅ«restÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.24_1	Nuristan	ADM1	8879.91484770489	69.98291	35.40248	Panjshir	https://www.geonames.org/	GeoNames
AFG	AF	AFG.25_1	Paktika	ADM1	18819.883046106926	68.75	32.41667	WilÄyat-e PaktÄ«kÄ	https://www.geonames.org/	GeoNames
AFG	AF	AFG.26_1	Paktya	ADM1	5409.327264238078	69.33333	33.66667	WilÄyat-e PaktiyÄ	https://www.geonames.org/	GeoNames
AFG	AF	AFG.28_1	Parwan	ADM1	5611.68349280581	68.91667	35	ParwÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.29_1	Samangan	ADM1	13207.409935016609	67.66667	36	SamangÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.2_1	Badghis	ADM1	20596.224141066315	63.75	35	BÄdghÄ«s	https://www.geonames.org/	GeoNames
AFG	AF	AFG.30_1	Sari Pul	ADM1	16128.510455723088	66.16667	35.83333	Sar-e Pul	https://www.geonames.org/	GeoNames
AFG	AF	AFG.31_1	Takhar	ADM1	12214.438875787671	69.75	36.66667	WilÄyat-e TakhÄr	https://www.geonames.org/	GeoNames
AFG	AF	AFG.32_1	Uruzgan	ADM1	11299.45212609564	66	32.83333	UruzgÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.34_1	Zabul	ADM1	17129.451741410816	67.25	32.25	WilÄyat-e ZÄbul	https://www.geonames.org/	GeoNames
AFG	AF	AFG.3_1	Baghlan	ADM1	17859.842437476535	69	35.75	WilÄyat-e BaghlÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.4_1	Balkh	ADM1	16022.522387076926	67	36.75	Balkh	https://www.geonames.org/	GeoNames
AFG	AF	AFG.5_1	Bamyan	ADM1	17728.049361453286	67.25	34.75	WilÄyat-e BÄmyÄn	https://www.geonames.org/	GeoNames
AFG	AF	AFG.6_1	Daykundi	ADM1	17216.648693126004	66.25	33.75	Daykundi Province	https://www.geonames.org/	GeoNames
AFG	AF	AFG.7_1	Farah	ADM1	49394.039857536176	62.5	32.5	FarÄh	https://www.geonames.org/	GeoNames
AFG	AF	AFG.8_1	Faryab	ADM1	20729.504378726077	64.83333	36.25	Faryab Province	https://www.geonames.org/	GeoNames
AFG	AF	AFG.9_1	Ghazni	ADM1	22053.433540531296	68	34.25	Wardak	https://www.geonames.org/	GeoNames
AFG	AF	AFG.9_1	Ghazni	ADM1	22053.433540531296	67.75	33.33333	WilÄyat-e GhaznÄ«	https://www.geonames.org/	GeoNames
ATG	AG	ATG.1_1	Barbuda	ADM1	169.53872260992432	-61.8	17.63333	Barbuda	https://www.geonames.org/	GeoNames
ATG	AG	ATG.2_1	Redonda	ADM1	0.3691296108067036	-62.34556	16.93889	Redonda	https://www.geonames.org/	GeoNames
ATG	AG	ATG.3_1	Saint George	ADM1	31.64265696792889	-61.85	17.1	Parish of Saint John	https://www.geonames.org/	GeoNames
ATG	AG	ATG.4_1	Saint John	ADM1		-61.74819	17.08925	Parish of Saint Peter	https://www.geonames.org/	GeoNames
ATG	AG	ATG.5_1	Saint Mary	ADM1	50.729224808474065	-61.76667	17.03333	Parish of Saint Paul	https://www.geonames.org/	GeoNames
ATG	AG	ATG.6_1	Saint Paul	ADM1	57.99220020592403	-61.85	17.05	Parish of Saint Mary	https://www.geonames.org/	GeoNames
ATG	AG	ATG.7_1	Saint Peter	ADM1	75.76177494175768	-61.71667	17.05	Parish of Saint Philip	https://www.geonames.org/	GeoNames
ATG	AG	ATG.7_1	Saint Peter	ADM1	75.76177494175768	-61.79679	17.1227	Parish of Saint George	https://www.geonames.org/	GeoNames
AIA	AI	AIA.10_1	Stoney Ground	ADM1	7.942520902265623	-63.08993	18.20399	Sandy Ground	https://www.geonames.org/	GeoNames
AIA	AI	AIA.10_1	Stoney Ground	ADM1	7.942520902265623	-63.0898	18.191770000000002	South Hill	https://www.geonames.org/	GeoNames
AIA	AI	AIA.11_1	The Farrington	ADM1	12.89720951335126	-63.00724	18.25617	Island Harbour	https://www.geonames.org/	GeoNames
AIA	AI	AIA.12_1	The Quarter	ADM1		-62.99728	18.234	East End	https://www.geonames.org/	GeoNames
AIA	AI	AIA.14_1	West End	ADM1	1.145156992324829	-63.07607	18.20603	North Hill	https://www.geonames.org/	GeoNames
AIA	AI	AIA.1_1	Blowing Point	ADM1		-63.15113	18.17138	West End	https://www.geonames.org/	GeoNames
AIA	AI	AIA.1_1	Blowing Point	ADM1		-63.04504	18.21158	The Quarter	https://www.geonames.org/	GeoNames
AIA	AI	AIA.1_1	Blowing Point	ADM1		-63.04466	18.22112	Stoney Ground	https://www.geonames.org/	GeoNames
AIA	AI	AIA.2_1	East End	ADM1		-63.05706	18.21475	The Valley	https://www.geonames.org/	GeoNames
AIA	AI	AIA.3_1	George Hill	ADM1	11.58981587425892	-63.01178	18.22066	Sandy Hill	https://www.geonames.org/	GeoNames
AIA	AI	AIA.4_1	Island Harbour	ADM1	6.20121135898462	-63.02123	18.21533	The Farrington	https://www.geonames.org/	GeoNames
AIA	AI	AIA.6_1	North Side	ADM1	10.265530062067777	-63.09161	18.177	Blowing Point	https://www.geonames.org/	GeoNames
AIA	AI	AIA.8_1	Sandy Hill	ADM1	1.2481977319502084	-63.06517	18.19943	George Hill	https://www.geonames.org/	GeoNames
ALB	AL	ALB.10_1	Shkodër	ADM1	2310.2734291703337	19.75	42.18333	Qarku i ShkodrÃ«s	https://www.geonames.org/	GeoNames
ALB	AL	ALB.11_1	Tiranë	ADM1		19.61667	41.48333	Qarku i DurrÃ«sit	https://www.geonames.org/	GeoNames
ALB	AL	ALB.11_1	Tiranë	ADM1		19.78333	41.26667	Tirana	https://www.geonames.org/	GeoNames
ALB	AL	ALB.12_1	Vlorë	ADM1		19.8	40.16667	Qarku i VlorÃ«s	https://www.geonames.org/	GeoNames
ALB	AL	ALB.1_1	Berat	ADM1	1820.039728070065	20.08333	40.63333	Qarku i Beratit	https://www.geonames.org/	GeoNames
ALB	AL	ALB.2_1	Dibër	ADM1	2412.027797719492	20.23333	41.6	Qarku i DibrÃ«s	https://www.geonames.org/	GeoNames
ALB	AL	ALB.4_1	Elbasan	ADM1	1630.6715339700584	20.2	41.06667	Qarku i Elbasanit	https://www.geonames.org/	GeoNames
ALB	AL	ALB.4_1	Elbasan	ADM1	1630.6715339700584	20.58333	41.23333	OpÅ¡tina VevÄani	https://www.geonames.org/	GeoNames
ALB	AL	ALB.5_1	Fier	ADM1	1821.8742240431463	19.61667	40.76667	Qarku i Fierit	https://www.geonames.org/	GeoNames
ALB	AL	ALB.6_1	Gjirokastër	ADM1	2889.2530448005487	20.2	40.21667	Qarku i GjirokastrÃ«s	https://www.geonames.org/	GeoNames
ALB	AL	ALB.7_1	Korçë	ADM1	3589.7296012418824	20.66667	40.61667	Qarku i KorÃ§Ã«s	https://www.geonames.org/	GeoNames
ALB	AL	ALB.8_1	Kukës	ADM1		20.36667	42.2	Qarku i KukÃ«sit	https://www.geonames.org/	GeoNames
ALB	AL	ALB.9_1	Lezhë	ADM1	1626.9713942444473	19.86667	41.8	Qarku i LezhÃ«s	https://www.geonames.org/	GeoNames
ARM	AM	ARM.10_1	Tavush	ADM1	750.1806208510077	45.16667	40.91667	Tavushi Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.10_1	Tavush	ADM1	750.1806208510077	45.09	41.26	Qazakh Rayon	https://www.geonames.org/	GeoNames
ARM	AM	ARM.11_1	Vayots Dzor	ADM1	2380.7762951372624	45.41667	39.75	Vayotsâ€™ Dzor	https://www.geonames.org/	GeoNames
ARM	AM	ARM.1_1	Aragatsotn	ADM1	2720.5210892808773	44.16667	40.41667	Aragatsotni Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.2_1	Ararat	ADM1	1974.1412328523209	44.83333	39.91667	Ararati Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.3_1	Armavir	ADM1	1247.024113618004	44	40.11667	Armaviri Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.4_1	Erevan	ADM1	216.89508390500356	44.5	40.18333	Yerevan	https://www.geonames.org/	GeoNames
ARM	AM	ARM.5_1	Gegharkunik	ADM1	5271.933319736401	45.41667	40.25	Gegharkâ€™unikâ€™i Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.6_1	Kotayk	ADM1	2123.3109743170507	44.75	40.41667	Kotaykâ€™i Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.7_1	Lori	ADM1	3736.418749804832	44.5	41	Lorru Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.8_1	Shirak	ADM1	2886.927779743988	43.83333	40.75	Shiraki Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.9_1	Syunik	ADM1	4404.059946086878	46.25	39.33333	Syunikâ€™i Marz	https://www.geonames.org/	GeoNames
ARM	AM	ARM.9_1	Syunik	ADM1	4404.059946086878	46.39913	39.65073	LaÃ§Ä±n Rayonu	https://www.geonames.org/	GeoNames
AGO	AO	AGO.10_1	Huíla	ADM1	78767.0367554161	15.00014	-14.69531	Huila Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.11_1	Luanda	ADM1	2802.493246866112	13.33924	-8.91667	Luanda Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.12_1	Lunda Norte	ADM1	105282.15673022722	19.64852	-8.63543	Lunda Norte Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.13_1	Lunda Sul	ADM1	77678.95567182603	20.62489	-10.25918	Lunda-Sul	https://www.geonames.org/	GeoNames
AGO	AO	AGO.14_1	Malanje	ADM1	85140.11709777683	16.82553	-9.67548	Malanje Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.15_1	Moxico	ADM1	199093.6231962294	20.93266	-12.84869	Moxico	https://www.geonames.org/	GeoNames
AGO	AO	AGO.16_1	Namibe	ADM1	58005.15854452071	12.66002	-15.33207	Namibe Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.17_1	Uíge	ADM1	62069.60782185809	15.44056	-7.10719	ProvÃ­ncia do UÃ­ge	https://www.geonames.org/	GeoNames
AGO	AO	AGO.18_1	Zaire	ADM1	36334.5980546943	13.51966	-6.58717	Zaire	https://www.geonames.org/	GeoNames
AGO	AO	AGO.1_1	Bengo	ADM1	33991.591180907504	13.82743	-8.97504	Bengo Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.2_1	Benguela	ADM1	39715.483671703805	13.92825	-12.85399	Benguela	https://www.geonames.org/	GeoNames
AGO	AO	AGO.3_1	Bié	ADM1	72138.23151500392	17.3031	-12.34989	ProvÃ­ncia do BiÃ©	https://www.geonames.org/	GeoNames
AGO	AO	AGO.4_1	Cabinda	ADM1	6701.7148037044235	12.40532	-4.93423	Cabinda	https://www.geonames.org/	GeoNames
AGO	AO	AGO.5_1	Cuando Cubango	ADM1	197795.3110438617	19.3832	-15.94761	Cuando Cubango	https://www.geonames.org/	GeoNames
AGO	AO	AGO.6_1	Cuanza Norte	ADM1		14.8887	-8.91136	Cuanza Norte Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.7_1	Cuanza Sul	ADM1	23730.062075881597	15.03197	-10.82696	Cuanza-Sul	https://www.geonames.org/	GeoNames
AGO	AO	AGO.8_1	Cunene	ADM1	77029.98754307027	15.43526	-16.51009	Cunene Province	https://www.geonames.org/	GeoNames
AGO	AO	AGO.9_1	Huambo	ADM1	33129.68326592062	15.66667	-12.5	Huambo	https://www.geonames.org/	GeoNames
ARG	AR	ARG.10_1	Jujuy	ADM1	53615.45511220839	-66	-23	Jujuy Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.11_1	La Pampa	ADM1	142670.45776011026	-66	-37	La Pampa Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.12_1	La Rioja	ADM1	90435.85523576388	-67	-29.58333	La Rioja Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.13_1	Mendoza	ADM1	150803.95448542864	-68.5	-34.5	Mendoza Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.14_1	Misiones	ADM1	29432.492909519304	-54.34387	-26.81427	Misiones Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.15_1	Neuquén	ADM1	94685.52690781436	-70	-39	NeuquÃ©n Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.16_1	Río Negro	ADM1	202639.84042156144	-67	-40	RÃ­o Negro Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.17_1	Salta	ADM1	155449.4055155089	-65.43457	-24.75806	Salta Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.18_1	San Juan	ADM1	87851.28044151783	-69	-31	San Juan Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.19_1	San Luis	ADM1	77364.17216338361	-66	-34	San Luis Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.1_1	Buenos Aires	ADM1	306094.2758391244	-60	-36	Buenos Aires	https://www.geonames.org/	GeoNames
ARG	AR	ARG.20_1	Santa Cruz	ADM1	244142.5182667	-70	-49	Santa Cruz Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.21_1	Santa Fe	ADM1	132674.48319628142	-61	-31	Santa Fe Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.22_1	Santiago del Estero	ADM1	134924.36909229477	-63.5	-28	Santiago del Estero Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.23_1	Tierra del Fuego	ADM1	21079.347518288832	-67	-54.5	Tierra del Fuego Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.24_1	Tucumán	ADM1	22832.97336410532	-65.5	-27	TucumÃ¡n Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.2_1	Catamarca	ADM1	101392.5206430326	-67	-27	Catamarca Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.3_1	Chaco	ADM1	99291.93615573822	-60.5	-26.33333	Chaco Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.4_1	Chubut	ADM1	225213.4658167178	-69	-44	Chubut Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.5_1	Ciudad de Buenos Aires	ADM1	376.5051768802681	-58.45	-34.6	Ciudad AutÃ³noma de Buenos Aires	https://www.geonames.org/	GeoNames
ARG	AR	ARG.6_1	Córdoba	ADM1	168142.39475498695	-64	-32	CÃ³rdoba Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.7_1	Corrientes	ADM1	89089.4487180312	-58	-29	Corrientes Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.8_1	Entre Ríos	ADM1	78186.37118321385	-59	-32	Entre RÃ­os Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.9_1	Formosa	ADM1	75916.84916007586	-60	-25	Formosa Province	https://www.geonames.org/	GeoNames
ARG	AR	ARG.9_1	Formosa	ADM1	75916.84916007586	-57.63539	-25.28207	AsunciÃ³n	https://www.geonames.org/	GeoNames
ASM	AS	ASM.1_1	Eastern	ADM1	54.34156024465322	-170.76667	-14.31667	Western District	https://www.geonames.org/	GeoNames
ASM	AS	ASM.1_1	Eastern	ADM1	54.34156024465322	-170.65	-14.26667	Eastern District	https://www.geonames.org/	GeoNames
ASM	AS	ASM.2_1	Manu'a	ADM1	45.967385327895165	-169.47458	-14.23327	Manu'a District	https://www.geonames.org/	GeoNames
ASM	AS	ASM.3_1	Unorganized	ADM1	1.8665217400114535	-171.082	-11.056	Swains Island	https://www.geonames.org/	GeoNames
AUT	AT	AUT.1_1	Burgenland	ADM1	3982.905977305478	16.41667	47.5	Burgenland	https://www.geonames.org/	GeoNames
AUT	AT	AUT.1_1	Burgenland	ADM1	3982.905977305478	16.02444	46.8025	ObÄina RogaÅ¡ovci	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	13.83333	46.75	KÃ¤rnten	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	14.32361	46.38417	ObÄina TrÅ¾iÄ	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	14.07245	46.45253	Jesenice	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	15.03333	46.58333	Dravograd	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	14.855	46.52278	ObÄina MeÅ¾ica	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	14.82139	46.46417	ObÄina ÄŒrna na KoroÅ¡kem	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	14.17567	46.412350000000004	ObÄina Å½irovnica	https://www.geonames.org/	GeoNames
AUT	AT	AUT.2_1	Kärnten	ADM1	95.67600064115145	14.48352	46.38925	Jezersko	https://www.geonames.org/	GeoNames
AUT	AT	AUT.3_1	Niederösterreich	ADM1	19098.889857734703	15.75	48.33333	NiederÃ¶sterreich	https://www.geonames.org/	GeoNames
AUT	AT	AUT.4_1	Oberösterreich	ADM1	11885.742819461651	14	48.25	OberÃ¶sterreich	https://www.geonames.org/	GeoNames
AUT	AT	AUT.5_1	Salzburg	ADM1	7205.544780158923	13.25	47.41667	Salzburg	https://www.geonames.org/	GeoNames
AUT	AT	AUT.6_1	Steiermark	ADM1	54.62404559371376	15.16667	47.25	Steiermark	https://www.geonames.org/	GeoNames
AUT	AT	AUT.6_1	Steiermark	ADM1	54.62404559371376	15.25093	46.60725	Radlje ob Dravi	https://www.geonames.org/	GeoNames
AUT	AT	AUT.6_1	Steiermark	ADM1	54.62404559371376	15.13611	46.63056	Muta	https://www.geonames.org/	GeoNames
