iso3	iso2	gadm1	gbif_name	type	area_sqkm	decimal_longitude	decimal_latitude	source_locality_name	source_reference	source
AUS	AU		Australia	PCLI	7691175.090399871	133.775	-25.274	Australia	https://www.ga.gov.au/scientific-topics/national-location-information/dimensions/centre-of-australia-states-territoriess	Australia
AUS	AU		Australia	PCLI	7691175.090399871	132.33333	-23.1166667	Australia	https://www.ga.gov.au/scientific-topics/national-location-information/dimensions/centre-of-australia-states-territoriess	Australia
AUS	AU		Australia	PCLI	7691175.090399871	134.3548056	-25.610111	Australia	https://www.ga.gov.au/scientific-topics/national-location-information/dimensions/centre-of-australia-states-territoriess	Australia
AUS	AU		Australia	PCLI	7691175.090399871	132.1666667	-23.033333	Australia	https://www.ga.gov.au/scientific-topics/national-location-information/dimensions/centre-of-australia-states-territoriess	Australia
AUS	AU		Australia	PCLI	7691175.090399871	133.396111	-23.5527472	Australia	https://www.ga.gov.au/scientific-topics/national-location-information/dimensions/centre-of-australia-states-territoriess	Australia
AUS	AU		Australia	PCLI	7691175.090399871	133.2096389	-25.9470278	Australia	https://www.ga.gov.au/scientific-topics/national-location-information/dimensions/centre-of-australia-states-territoriess	Australia
